[26, 'J', 'M23S', 'M21', 'S', '108700_J..S'] 2022-03-03 18:30:44.981462
[24, 'J', 'M23S', 'M21', 'S', '101500_J..S'] 2022-03-03 18:30:48.840513
[17, 'J', 'M23S', 'M21', 'S', '107600_J..S'] 2022-03-03 18:30:52.643046
[3, 'J', 'M23S', 'M21', 'S', '106700_J..S'] 2022-03-03 18:30:56.384976
[8, '4', '250S', '640', 'S', '107300_4..S06R'] 2022-03-03 18:31:05.071144
[5, '6', '640S', '640', 'S', '105700_6..S01R'] 2022-03-03 18:31:08.630719
[1, '6', '640S', '640', 'S', '106250_6..S03R'] 2022-03-03 18:31:12.115631
[1, '4', '250S', '640', 'S', '106400_4..S06R'] 2022-03-03 18:31:15.717983
[8, '4', '250S', '640', 'S', '107300_4..S06R'] 2022-03-03 18:31:24.414605
[5, '6', '640S', '640', 'S', '105700_6..S01R'] 2022-03-03 18:31:28.179227
[1, '6', '640S', '640', 'S', '106250_6..S03R'] 2022-03-03 18:31:34.910193
[0, '4', '250S', '640', 'S', '106400_4..S06R'] 2022-03-03 18:31:38.604643
[7, '4', '250S', '640', 'S', '107300_4..S06R'] 2022-03-03 18:31:48.179700
[5, '6', '640S', '640', 'S', '105700_6..S01R'] 2022-03-03 18:31:52.470594
[1, '6', '640S', '640', 'S', '106250_6..S03R'] 2022-03-03 18:31:56.571326
[0, '4', '250S', '640', 'S', '106400_4..S06R'] 2022-03-03 18:32:00.408623
[7, '3', '257S', '137', 'S', '108900_3..S01R'] 2022-03-03 18:32:09.419372
[7, '1', '142S', '137', 'S', '106900_1..S03R'] 2022-03-03 18:32:13.226276
[2, '1', '142S', '137', 'S', '106400_1..S03R'] 2022-03-03 18:32:16.879347
[0, '2', '247S', '137', 'S', '105000_2..S01R'] 2022-03-03 18:32:20.638198
[7, '1', '142S', '137', 'S', '106900_1..S03R'] 2022-03-03 18:32:29.788939
[6, '3', '257S', '137', 'S', '108900_3..S01R'] 2022-03-03 18:32:33.489924
[2, '1', '142S', '137', 'S', '106400_1..S03R'] 2022-03-03 18:32:37.376010
[0, '2', '247S', '137', 'S', '105000_2..S01R'] 2022-03-03 18:32:41.335973
[7, '1', '142S', '137', 'S', '106900_1..S03R'] 2022-03-03 18:32:50.025890
[6, '3', '257S', '137', 'S', '108900_3..S01R'] 2022-03-03 18:32:53.792853
[6, '3', '257S', '137', 'S', '108900_3..S01R'] 2022-03-03 18:32:57.148092
[1, '1', '142S', '137', 'S', '106400_1..S03R'] 2022-03-03 18:33:00.753690
[14, 'A', 'A65S', 'A36', 'S', '109000_A..S'] 2022-03-03 18:33:09.273446
[6, 'A', 'H11S', 'A36', 'S', '108200_A..S'] 2022-03-03 18:33:12.894520
[0, 'C', 'A55S', 'A36', 'S', '107800_C..S'] 2022-03-03 18:33:16.380763
[0, 'A', 'A65S', 'A36', 'S', '107600_A..S'] 2022-03-03 18:33:19.955021
[14, 'A', 'A65S', 'A36', 'S', '109000_A..S'] 2022-03-03 18:33:28.735225
[6, 'A', 'H11S', 'A36', 'S', '108200_A..S'] 2022-03-03 18:33:32.366368
[0, 'C', 'A55S', 'A36', 'S', '107800_C..S'] 2022-03-03 18:33:35.851527
[0, 'A', 'A65S', 'A36', 'S', '107600_A..S'] 2022-03-03 18:33:39.405946
[13, 'A', 'A65S', 'A36', 'S', '109000_A..S'] 2022-03-03 18:33:47.813937
[6, 'A', 'H11S', 'A36', 'S', '108200_A..S'] 2022-03-03 18:33:51.457254
[0, 'C', 'A55S', 'A36', 'S', '107800_C..S'] 2022-03-03 18:33:54.994550
[0, 'A', 'A65S', 'A36', 'S', '107600_A..S'] 2022-03-03 18:33:58.747173
[24, 'J', 'M23S', 'M21', 'S', '101500_J..S'] 2022-03-03 18:34:07.435840
[22, 'J', 'M23S', 'M21', 'S', '108700_J..S'] 2022-03-03 18:34:11.152166
[16, 'J', 'M23S', 'M21', 'S', '107600_J..S'] 2022-03-03 18:34:14.548247
[0, 'J', 'M23S', 'M21', 'S', '106700_J..S'] 2022-03-03 18:34:18.006238
