[52, 'J', 'M23S', 'M21', 'S', '127500_J..S'] 2022-04-29 21:10:42.681476
[33, 'J', 'M23S', 'M21', 'S', '125800_J..S'] 2022-04-29 21:10:49.127977
[25, 'J', 'M23S', 'M21', 'S', '124700_J..S'] 2022-04-29 21:10:53.606149
[9, 'J', 'M23S', 'M21', 'S', '123250_J..S'] 2022-04-29 21:11:05.304671
[11, '4', '250S', '640', 'S', '123900_4..S06R'] 2022-04-29 21:11:20.116061
[8, '5', '420S', '640', 'S', '122400_5..S08R'] 2022-04-29 21:11:24.403028
[5, '4', '250S', '640', 'S', '123050_4..S06R'] 2022-04-29 21:11:29.412905
[0, '6', '640S', '640', 'S', '120800_6..S01R'] 2022-04-29 21:11:36.106549
[11, '4', '250S', '640', 'S', '123900_4..S06R'] 2022-04-29 21:11:47.834657
[8, '5', '420S', '640', 'S', '122400_5..S08R'] 2022-04-29 21:11:59.595553
[4, '4', '250S', '640', 'S', '123050_4..S06R'] 2022-04-29 21:12:03.591882
[0, '6', '640S', '640', 'S', '120800_6..S01R'] 2022-04-29 21:12:07.288945
[16, '3', '257S', '137', 'S', '125950_3..S01R'] 2022-04-29 21:12:16.584243
[12, '2', '247S', '137', 'S', '122100_2..S01R'] 2022-04-29 21:12:20.660531
[3, '2', '247S', '137', 'S', '121100_2..S01R'] 2022-04-29 21:12:24.192636
[3, '1', '142S', '137', 'S', '122550_1..S03R'] 2022-04-29 21:12:28.192443
[15, '3', '257S', '137', 'S', '125950_3..S01R'] 2022-04-29 21:12:37.580941
[12, '2', '247S', '137', 'S', '122100_2..S01R'] 2022-04-29 21:12:43.661393
[3, '2', '247S', '137', 'S', '121100_2..S01R'] 2022-04-29 21:12:51.263484
[3, '1', '142S', '137', 'S', '122550_1..S03R'] 2022-04-29 21:12:56.566805
[14, 'A', 'A65S', 'A36', 'S', '125100_A..S'] 2022-04-29 21:13:06.568103
[7, 'C', 'A55S', 'A36', 'S', '124508_C..S'] 2022-04-29 21:13:10.479898
[0, 'C', 'A55S', 'A36', 'S', '123073_C..S'] 2022-04-29 21:13:15.841759
[0, 'A', 'H15S', 'A36', 'S', '123900_A..S'] 2022-04-29 21:13:24.141233
[14, 'A', 'A65S', 'A36', 'S', '125100_A..S'] 2022-04-29 21:13:37.424360
[7, 'C', 'A55S', 'A36', 'S', '124508_C..S'] 2022-04-29 21:13:41.911603
[0, 'C', 'A55S', 'A36', 'S', '123073_C..S'] 2022-04-29 21:13:47.555462
[0, 'A', 'H15S', 'A36', 'S', '123900_A..S'] 2022-04-29 21:13:54.819672
[49, 'J', 'M23S', 'M21', 'S', '127500_J..S'] 2022-04-29 21:14:04.320350
[31, 'J', 'M23S', 'M21', 'S', '125800_J..S'] 2022-04-29 21:14:08.372689
[22, 'J', 'M23S', 'M21', 'S', '124700_J..S'] 2022-04-29 21:14:12.142776
[6, 'J', 'M23S', 'M21', 'S', '123250_J..S'] 2022-04-29 21:14:16.609131
[49, 'J', 'M23S', 'M21', 'S', '127500_J..S'] 2022-04-29 21:14:28.312005
[31, 'J', 'M23S', 'M21', 'S', '125800_J..S'] 2022-04-29 21:14:34.843106
[22, 'J', 'M23S', 'M21', 'S', '124700_J..S'] 2022-04-29 21:14:41.471306
[3, 'J', 'M23S', 'M21', 'S', '123250_J..S'] 2022-04-29 21:14:44.878745
[48, 'J', 'M23S', 'M21', 'S', '127500_J..S'] 2022-04-29 21:14:54.250150
[31, 'J', 'M23S', 'M21', 'S', '125800_J..S'] 2022-04-29 21:14:57.976005
