[13, 'J', 'M23S', 'M21', 'S', '119900_J..S'] 2022-04-23 20:37:14.392431
[12, 'J', 'M23S', 'M21', 'S', '118800_J..S'] 2022-04-23 20:37:17.456428
[5, 'J', 'M23S', 'M21', 'S', '117450_J..S'] 2022-04-23 20:37:20.731331
[0, 'J', 'M23S', 'M21', 'S', '123100_J..S'] 2022-04-23 20:37:23.670429
[13, 'J', 'M23S', 'M21', 'S', '119900_J..S'] 2022-04-23 20:37:31.811416
[12, 'J', 'M23S', 'M21', 'S', '118800_J..S'] 2022-04-23 20:37:34.492501
[5, 'J', 'M23S', 'M21', 'S', '117450_J..S'] 2022-04-23 20:37:37.655905
[0, 'J', 'M23S', 'M21', 'S', '123100_J..S'] 2022-04-23 20:37:40.663108
[13, 'J', 'M23S', 'M21', 'S', '119900_J..S'] 2022-04-23 20:37:48.445778
[12, 'J', 'M23S', 'M21', 'S', '118800_J..S'] 2022-04-23 20:37:51.357631
[5, 'J', 'M23S', 'M21', 'S', '117450_J..S'] 2022-04-23 20:37:54.385432
[0, 'J', 'M23S', 'M21', 'S', '123100_J..S'] 2022-04-23 20:37:56.990492
[21, '4', '257S', '640', 'S', '121050_4..S01R'] 2022-04-23 20:38:04.967575
[7, '6', '640S', '640', 'S', '119000_6..S01X115'] 2022-04-23 20:38:07.620660
[2, '4', '257S', '640', 'S', '119850_4..S01R'] 2022-04-23 20:38:10.257614
[0, '5', '420S', '640', 'S', '118250_5..S08R'] 2022-04-23 20:38:12.882126
[21, '4', '257S', '640', 'S', '121050_4..S01R'] 2022-04-23 20:38:20.555915
[7, '6', '640S', '640', 'S', '119000_6..S01X115'] 2022-04-23 20:38:23.261265
[2, '4', '257S', '640', 'S', '119850_4..S01R'] 2022-04-23 20:38:25.956713
[0, '5', '420S', '640', 'S', '118250_5..S08R'] 2022-04-23 20:38:28.756162
[20, '4', '257S', '640', 'S', '121050_4..S01R'] 2022-04-23 20:38:36.453224
[6, '6', '640S', '640', 'S', '119000_6..S01X115'] 2022-04-23 20:38:39.602240
[2, '4', '257S', '640', 'S', '119850_4..S01R'] 2022-04-23 20:38:42.270300
[0, '5', '420S', '640', 'S', '118250_5..S08R'] 2022-04-23 20:38:44.876650
[20, '4', '257S', '640', 'S', '121050_4..S01R'] 2022-04-23 20:38:52.988556
[6, '6', '640S', '640', 'S', '119000_6..S01X115'] 2022-04-23 20:38:55.619915
[1, '4', '257S', '640', 'S', '119850_4..S01R'] 2022-04-23 20:38:58.357119
[0, '5', '420S', '640', 'S', '118250_5..S08R'] 2022-04-23 20:39:01.145888
[12, '1', '142S', '137', 'S', '121450_1..S03X006'] 2022-04-23 20:39:08.739585
[4, '1', '142S', '137', 'S', '120650_1..S03X006'] 2022-04-23 20:39:11.373066
[1, '1', '142S', '137', 'S', '119850_1..S03X006'] 2022-04-23 20:39:14.820971
[0, '2', '247S', '137', 'S', '117300_2..S01X009'] 2022-04-23 20:39:17.457211
[12, '1', '142S', '137', 'S', '121450_1..S03X006'] 2022-04-23 20:39:25.248209
[4, '1', '142S', '137', 'S', '120650_1..S03X006'] 2022-04-23 20:39:28.661286
[1, '1', '142S', '137', 'S', '119850_1..S03X006'] 2022-04-23 20:39:31.560854
[0, '2', '247S', '137', 'S', '117300_2..S01X009'] 2022-04-23 20:39:34.449683
[12, '1', '142S', '137', 'S', '121450_1..S03X006'] 2022-04-23 20:39:42.404019
[3, '1', '142S', '137', 'S', '120650_1..S03X006'] 2022-04-23 20:39:45.226896
[1, '1', '142S', '137', 'S', '119850_1..S03X006'] 2022-04-23 20:39:48.279735
[0, '2', '247S', '137', 'S', '117300_2..S01X009'] 2022-04-23 20:39:51.132875
[11, '1', '142S', '137', 'S', '121450_1..S03X006'] 2022-04-23 20:40:00.471759
[3, '1', '142S', '137', 'S', '120650_1..S03X006'] 2022-04-23 20:40:03.804110
[0, '2', '247S', '137', 'S', '117300_2..S01X009'] 2022-04-23 20:40:07.288023
[0, '1', '142S', '137', 'S', '119850_1..S03X006'] 2022-04-23 20:40:10.268809
[18, 'A', 'A65S', 'A36', 'S', '122150_A..S'] 2022-04-23 20:40:18.282225
[11, 'A', 'A65S', 'A36', 'S', '120950_A..S'] 2022-04-23 20:40:21.055207
[7, 'C', 'A55S', 'A36', 'S', '120900_C..S'] 2022-04-23 20:40:24.439507
[7, 'A', 'A65S', 'A36', 'S', '120100_A..S'] 2022-04-23 20:40:27.047764
[18, 'A', 'A65S', 'A36', 'S', '122150_A..S'] 2022-04-23 20:40:35.086027
[11, 'A', 'A65S', 'A36', 'S', '120950_A..S'] 2022-04-23 20:40:38.203369
[7, 'C', 'A55S', 'A36', 'S', '120900_C..S'] 2022-04-23 20:40:41.960224
[6, 'A', 'A65S', 'A36', 'S', '120100_A..S'] 2022-04-23 20:40:45.086823
[17, 'A', 'A65S', 'A36', 'S', '122150_A..S'] 2022-04-23 20:40:53.075762
[11, 'A', 'A65S', 'A36', 'S', '120950_A..S'] 2022-04-23 20:40:56.867666
[6, 'C', 'A55S', 'A36', 'S', '120900_C..S'] 2022-04-23 20:40:59.731185
[5, 'A', 'A65S', 'A36', 'S', '120100_A..S'] 2022-04-23 20:41:03.360145
[22, 'J', 'M23S', 'M21', 'S', '121150_J..S'] 2022-04-23 20:41:10.884888
[12, 'J', 'M23S', 'M21', 'S', '119900_J..S'] 2022-04-23 20:41:13.590474
[9, 'J', 'M23S', 'M21', 'S', '118800_J..S'] 2022-04-23 20:41:16.014576
[5, 'J', 'M23S', 'M21', 'S', '117450_J..S'] 2022-04-23 20:41:19.422335
[22, 'J', 'M23S', 'M21', 'S', '121150_J..S'] 2022-04-23 20:41:27.782163
[12, 'J', 'M23S', 'M21', 'S', '119900_J..S'] 2022-04-23 20:41:30.608616
[8, 'J', 'M23S', 'M21', 'S', '118800_J..S'] 2022-04-23 20:41:33.982901
[5, 'J', 'M23S', 'M21', 'S', '117450_J..S'] 2022-04-23 20:41:37.318586
[22, 'J', 'M23S', 'M21', 'S', '121150_J..S'] 2022-04-23 20:41:45.616926
[21, 'J', 'M23S', 'M21', 'S', '121150_J..S'] 2022-04-23 20:41:49.824555
[12, 'J', 'M23S', 'M21', 'S', '119900_J..S'] 2022-04-23 20:41:52.659437
[5, 'J', 'M23S', 'M21', 'S', '117450_J..S'] 2022-04-23 20:41:55.289940
[22, '5', '420S', '640', 'S', '120250_5..S08R'] 2022-04-23 20:42:05.072436
[17, '6', '640S', '640', 'S', '119900_6..S01X115'] 2022-04-23 20:42:08.998342
[16, '4', '257S', '640', 'S', '121050_4..S01R'] 2022-04-23 20:42:13.251967
[3, '6', '640S', '640', 'S', '119000_6..S01X115'] 2022-04-23 20:42:16.001819
[21, '5', '420S', '640', 'S', '120250_5..S08R'] 2022-04-23 20:42:23.832099
[17, '6', '640S', '640', 'S', '119900_6..S01X115'] 2022-04-23 20:42:26.709344
[16, '4', '257S', '640', 'S', '121050_4..S01R'] 2022-04-23 20:42:29.351153
[3, '6', '640S', '640', 'S', '119000_6..S01X115'] 2022-04-23 20:42:32.057789
[21, '5', '420S', '640', 'S', '120250_5..S08R'] 2022-04-23 20:42:39.862481
[17, '6', '640S', '640', 'S', '119900_6..S01X115'] 2022-04-23 20:42:42.710509
[15, '4', '257S', '640', 'S', '121050_4..S01R'] 2022-04-23 20:42:45.403653
[2, '6', '640S', '640', 'S', '119000_6..S01X115'] 2022-04-23 20:42:48.431718
[21, '5', '420S', '640', 'S', '120250_5..S08R'] 2022-04-23 20:42:57.785087
[16, '6', '640S', '640', 'S', '119900_6..S01X115'] 2022-04-23 20:43:00.941772
[15, '4', '257S', '640', 'S', '121050_4..S01R'] 2022-04-23 20:43:06.187592
[2, '6', '640S', '640', 'S', '119000_6..S01X115'] 2022-04-23 20:43:09.310757
[18, '1', '142S', '137', 'S', '122250_1..S03X006'] 2022-04-23 20:43:17.439886
[9, '2', '247S', '137', 'S', '118500_2..S01X009'] 2022-04-23 20:43:20.759329
[8, '1', '142S', '137', 'S', '121450_1..S03X006'] 2022-04-23 20:43:23.772832
[8, '1', '142S', '137', 'S', '121450_1..S03X006'] 2022-04-23 20:43:29.501167
[23, '2', '247S', '137', 'S', '119700_2..S01X009'] 2022-04-23 20:43:37.667165
[17, '1', '142S', '137', 'S', '122250_1..S03X006'] 2022-04-23 20:43:41.468506
[9, '2', '247S', '137', 'S', '118500_2..S01X009'] 2022-04-23 20:43:47.101696
[7, '1', '142S', '137', 'S', '121450_1..S03X006'] 2022-04-23 20:43:50.406620
[23, '2', '247S', '137', 'S', '119700_2..S01X009'] 2022-04-23 20:43:58.808904
[16, '1', '142S', '137', 'S', '122250_1..S03X006'] 2022-04-23 20:44:02.120580
[9, '2', '247S', '137', 'S', '118500_2..S01X009'] 2022-04-23 20:44:07.471402
