['Times Sq-42 St', [3, '2', 'Wakefield-241 St'], [4, '1', 'Van Cortlandt Park-242 St'], [7, '2', 'Wakefield-241 St']] 2022-01-11 17:51:17.072137
['86 St', [5, 'c', 'Euclid Av'], [13, 'c', 'Euclid Av'], [23, 'c', 'Euclid Av']] 2022-01-11 17:54:07.274063
['86 St', [15, 'c', '168 St'], [32, 'c', '168 St'], [39, 'c', '168 St']] 2022-01-11 17:54:08.107865
['86 St', [5, 'c', 'Euclid Av'], [13, 'c', 'Euclid Av'], [23, 'c', 'Euclid Av']] 2022-01-11 17:54:14.174076
['86 St', [15, 'c', '168 St'], [32, 'c', '168 St'], [39, 'c', '168 St']] 2022-01-11 17:54:15.000990
['86 St', [4, 'c', 'Euclid Av'], [13, 'c', 'Euclid Av'], [23, 'c', 'Euclid Av']] 2022-01-11 17:54:21.051250
['86 St', [15, 'c', '168 St'], [31, 'c', '168 St'], [39, 'c', '168 St']] 2022-01-11 17:54:22.125043
['86 St', [4, 'c', 'Euclid Av'], [13, 'c', 'Euclid Av'], [23, 'c', 'Euclid Av']] 2022-01-11 17:54:27.825457
['86 St', [15, 'c', '168 St'], [31, 'c', '168 St'], [39, 'c', '168 St']] 2022-01-11 17:54:28.979499
['86 St', [4, 'c', 'Euclid Av'], [13, 'c', 'Euclid Av'], [22, 'c', 'Euclid Av']] 2022-01-11 17:54:34.581256
['86 St', [14, 'c', '168 St'], [31, 'c', '168 St'], [39, 'c', '168 St']] 2022-01-11 17:54:35.931801
['86 St', [4, 'c', 'Euclid Av'], [12, 'c', 'Euclid Av'], [22, 'c', 'Euclid Av']] 2022-01-11 17:54:41.185826
['86 St', [14, 'c', '168 St'], [31, 'c', '168 St'], [38, 'c', '168 St']] 2022-01-11 17:54:42.790770
['86 St', [4, 'c', 'Euclid Av'], [12, 'c', 'Euclid Av'], [22, 'c', 'Euclid Av']] 2022-01-11 17:54:48.079177
['86 St', [13, 'c', '168 St'], [31, 'c', '168 St'], [38, 'c', '168 St']] 2022-01-11 17:54:49.596191
