['86 St', [3, 'c', 'Euclid Av'], [7, 'b', 'Brighton Beach'], [12, 'c', 'Euclid Av']] 2021-12-22 09:47:03.128072
['86 St', [5, 'b', '145 St'], [8, 'c', '168 St'], [13, 'b', '145 St']] 2021-12-22 09:47:09.708691
['86 St', [3, 'c', 'Euclid Av'], [7, 'b', 'Brighton Beach'], [12, 'c', 'Euclid Av']] 2021-12-22 09:47:10.627250
['86 St', [5, 'b', '145 St'], [8, 'c', '168 St'], [13, 'b', '145 St']] 2021-12-22 09:47:16.948328
['86 St', [3, 'c', 'Euclid Av'], [7, 'b', 'Brighton Beach'], [12, 'c', 'Euclid Av']] 2021-12-22 09:47:17.805581
['86 St', [4, 'b', '145 St'], [8, 'c', '168 St'], [13, 'b', '145 St']] 2021-12-22 09:47:24.191864
['86 St', [3, 'c', 'Euclid Av'], [7, 'b', 'Brighton Beach'], [12, 'c', 'Euclid Av']] 2021-12-22 09:47:25.154746
['86 St', [4, 'b', '145 St'], [8, 'c', '168 St'], [13, 'b', '145 St']] 2021-12-22 09:47:31.961466
['86 St', [3, 'c', 'Euclid Av'], [6, 'b', 'Brighton Beach'], [12, 'c', 'Euclid Av']] 2021-12-22 09:47:32.259497
['86 St', [4, 'b', '145 St'], [8, 'c', '168 St'], [12, 'b', '145 St']] 2021-12-22 09:47:39.067093
['86 St', [3, 'c', 'Euclid Av'], [6, 'b', 'Brighton Beach'], [12, 'c', 'Euclid Av']] 2021-12-22 09:47:39.468300
['86 St', [3, 'b', '145 St'], [8, 'c', '168 St'], [12, 'b', '145 St']] 2021-12-22 09:47:46.158288
['86 St', [3, 'c', 'Euclid Av'], [6, 'b', 'Brighton Beach'], [12, 'c', 'Euclid Av']] 2021-12-22 09:47:46.824441
['86 St', [3, 'b', '145 St'], [8, 'c', '168 St'], [12, 'b', '145 St']] 2021-12-22 09:47:53.382357
['86 St', [3, 'c', 'Euclid Av'], [6, 'b', 'Brighton Beach'], [11, 'c', 'Euclid Av']] 2021-12-22 09:47:54.101416
['86 St', [3, 'b', '145 St'], [8, 'c', '168 St'], [12, 'b', '145 St']] 2021-12-22 09:48:00.783360
['86 St', [3, 'c', 'Euclid Av'], [6, 'b', 'Brighton Beach'], [11, 'c', 'Euclid Av']] 2021-12-22 09:48:01.476215
['86 St', [3, 'b', '145 St'], [8, 'c', '168 St'], [12, 'b', '145 St']] 2021-12-22 09:48:07.926579
['86 St', [3, 'c', 'Euclid Av'], [6, 'b', 'Brighton Beach'], [11, 'c', 'Euclid Av']] 2021-12-22 09:48:08.642897
['86 St', [3, 'b', '145 St'], [8, 'c', '168 St'], [12, 'b', '145 St']] 2021-12-22 09:48:15.148802
['86 St', [2, 'c', 'Euclid Av'], [6, 'b', 'Brighton Beach'], [11, 'c', 'Euclid Av']] 2021-12-22 09:48:16.152851
['86 St', [3, 'b', '145 St'], [7, 'c', '168 St'], [12, 'b', '145 St']] 2021-12-22 09:48:22.371514
['86 St', [2, 'c', 'Euclid Av'], [6, 'b', 'Brighton Beach'], [11, 'c', 'Euclid Av']] 2021-12-22 09:48:23.165859
['86 St', [3, 'b', '145 St'], [7, 'c', '168 St'], [12, 'b', '145 St']] 2021-12-22 09:48:29.695455
['86 St', [2, 'c', 'Euclid Av'], [6, 'b', 'Brighton Beach'], [11, 'c', 'Euclid Av']] 2021-12-22 09:48:30.225947
['86 St', [3, 'b', '145 St'], [7, 'c', '168 St'], [12, 'b', '145 St']] 2021-12-22 09:48:37.147104
['86 St', [2, 'c', 'Euclid Av'], [6, 'b', 'Brighton Beach'], [11, 'c', 'Euclid Av']] 2021-12-22 09:48:37.689541
['86 St', [3, 'b', '145 St'], [7, 'c', '168 St'], [12, 'b', '145 St']] 2021-12-22 09:48:44.589678
['86 St', [2, 'c', 'Euclid Av'], [6, 'b', 'Brighton Beach'], [11, 'c', 'Euclid Av']] 2021-12-22 09:48:44.980039
['86 St', [3, 'b', '145 St'], [7, 'c', '168 St'], [12, 'b', '145 St']] 2021-12-22 09:48:51.894282
['86 St', [2, 'c', 'Euclid Av'], [6, 'b', 'Brighton Beach'], [11, 'c', 'Euclid Av']] 2021-12-22 09:48:52.351806
['86 St', [3, 'b', '145 St'], [7, 'c', '168 St'], [12, 'b', '145 St']] 2021-12-22 09:48:59.358669
['86 St', [2, 'c', 'Euclid Av'], [6, 'b', 'Brighton Beach'], [11, 'c', 'Euclid Av']] 2021-12-22 09:48:59.710098
['86 St', [3, 'b', '145 St'], [7, 'c', '168 St'], [12, 'b', '145 St']] 2021-12-22 09:49:06.583739
['86 St', [2, 'c', 'Euclid Av'], [6, 'b', 'Brighton Beach'], [11, 'c', 'Euclid Av']] 2021-12-22 09:49:07.260020
['86 St', [3, 'b', '145 St'], [7, 'c', '168 St'], [12, 'b', '145 St']] 2021-12-22 09:49:13.749578
['86 St', [2, 'c', 'Euclid Av'], [6, 'b', 'Brighton Beach'], [11, 'c', 'Euclid Av']] 2021-12-22 09:49:14.597161
['86 St', [3, 'b', '145 St'], [7, 'c', '168 St'], [12, 'b', '145 St']] 2021-12-22 09:49:21.185454
['86 St', [2, 'c', 'Euclid Av'], [6, 'b', 'Brighton Beach'], [10, 'c', 'Euclid Av']] 2021-12-22 09:49:21.718343
['86 St', [3, 'b', '145 St'], [7, 'c', '168 St'], [11, 'b', '145 St']] 2021-12-22 09:49:28.444186
['86 St', [2, 'c', 'Euclid Av'], [6, 'b', 'Brighton Beach'], [10, 'c', 'Euclid Av']] 2021-12-22 09:49:28.864114
['86 St', [3, 'b', '145 St'], [7, 'c', '168 St'], [11, 'b', '145 St']] 2021-12-22 09:49:36.357256
['86 St', [2, 'c', 'Euclid Av'], [5, 'b', 'Brighton Beach'], [10, 'c', 'Euclid Av']] 2021-12-22 09:49:36.357256
['86 St', [2, 'c', 'Euclid Av'], [5, 'b', 'Brighton Beach'], [9, 'c', 'Euclid Av']] 2021-12-22 09:49:43.967890
['86 St', [3, 'b', '145 St'], [7, 'c', '168 St'], [11, 'b', '145 St']] 2021-12-22 09:49:43.981886
['86 St', [1, 'c', 'Euclid Av'], [5, 'b', 'Brighton Beach'], [9, 'c', 'Euclid Av']] 2021-12-22 09:49:51.564429
['86 St', [2, 'b', '145 St'], [7, 'c', '168 St'], [10, 'b', '145 St']] 2021-12-22 09:49:51.584407
['86 St', [1, 'c', 'Euclid Av'], [4, 'b', 'Brighton Beach'], [9, 'c', 'Euclid Av']] 2021-12-22 09:49:59.007914
['86 St', [2, 'b', '145 St'], [6, 'c', '168 St'], [10, 'b', '145 St']] 2021-12-22 09:49:59.029819
['86 St', [4, 'b', 'Brighton Beach'], [9, 'c', 'Euclid Av'], [19, 'c', 'Euclid Av']] 2021-12-22 09:50:06.681849
['86 St', [2, 'b', '145 St'], [6, 'c', '168 St'], [10, 'b', '145 St']] 2021-12-22 09:50:06.703791
['86 St', [4, 'b', 'Brighton Beach'], [9, 'c', 'Euclid Av'], [19, 'c', 'Euclid Av']] 2021-12-22 09:50:14.243565
['86 St', [2, 'b', '145 St'], [6, 'c', '168 St'], [10, 'b', '145 St']] 2021-12-22 09:50:14.266528
['86 St', [4, 'b', 'Brighton Beach'], [9, 'c', 'Euclid Av'], [19, 'c', 'Euclid Av']] 2021-12-22 09:50:22.039925
['86 St', [2, 'b', '145 St'], [6, 'c', '168 St'], [10, 'b', '145 St']] 2021-12-22 09:50:22.059905
['86 St', [4, 'b', 'Brighton Beach'], [9, 'c', 'Euclid Av'], [19, 'c', 'Euclid Av']] 2021-12-22 09:50:29.357952
['86 St', [2, 'b', '145 St'], [5, 'c', '168 St'], [10, 'b', '145 St']] 2021-12-22 09:50:29.688277
['86 St', [4, 'b', 'Brighton Beach'], [9, 'c', 'Euclid Av'], [19, 'c', 'Euclid Av']] 2021-12-22 09:50:36.901310
['86 St', [2, 'b', '145 St'], [5, 'c', '168 St'], [10, 'b', '145 St']] 2021-12-22 09:50:36.918267
['86 St', [4, 'b', 'Brighton Beach'], [9, 'c', 'Euclid Av'], [19, 'c', 'Euclid Av']] 2021-12-22 09:50:44.094708
['86 St', [2, 'b', '145 St'], [5, 'c', '168 St'], [10, 'b', '145 St']] 2021-12-22 09:50:44.516155
['86 St', [4, 'b', 'Brighton Beach'], [9, 'c', 'Euclid Av'], [19, 'c', 'Euclid Av']] 2021-12-22 09:50:51.235913
['86 St', [2, 'b', '145 St'], [5, 'c', '168 St'], [10, 'b', '145 St']] 2021-12-22 09:50:51.875064
['86 St', [4, 'b', 'Brighton Beach'], [9, 'c', 'Euclid Av'], [19, 'c', 'Euclid Av']] 2021-12-22 09:50:58.543260
['86 St', [2, 'b', '145 St'], [5, 'c', '168 St'], [9, 'b', '145 St']] 2021-12-22 09:50:59.079988
['86 St', [3, 'b', 'Brighton Beach'], [9, 'c', 'Euclid Av'], [18, 'c', 'Euclid Av']] 2021-12-22 09:51:05.765339
['86 St', [2, 'b', '145 St'], [5, 'c', '168 St'], [9, 'b', '145 St']] 2021-12-22 09:51:06.522755
['86 St', [3, 'b', 'Brighton Beach'], [8, 'c', 'Euclid Av'], [18, 'c', 'Euclid Av']] 2021-12-22 09:51:13.048779
['86 St', [2, 'b', '145 St'], [5, 'c', '168 St'], [9, 'b', '145 St']] 2021-12-22 09:51:13.903133
['86 St', [3, 'b', 'Brighton Beach'], [8, 'c', 'Euclid Av'], [18, 'c', 'Euclid Av']] 2021-12-22 09:51:20.102189
['86 St', [2, 'b', '145 St'], [4, 'c', '168 St'], [9, 'b', '145 St']] 2021-12-22 09:51:20.928886
['86 St', [3, 'b', 'Brighton Beach'], [8, 'c', 'Euclid Av'], [18, 'c', 'Euclid Av']] 2021-12-22 09:51:27.405558
['86 St', [1, 'b', '145 St'], [4, 'c', '168 St'], [9, 'b', '145 St']] 2021-12-22 09:51:28.035671
['86 St', [3, 'b', 'Brighton Beach'], [7, 'c', 'Euclid Av'], [18, 'c', 'Euclid Av']] 2021-12-22 09:51:34.773897
['86 St', [1, 'b', '145 St'], [4, 'c', '168 St'], [9, 'b', '145 St']] 2021-12-22 09:51:35.395312
['86 St', [3, 'b', 'Brighton Beach'], [7, 'c', 'Euclid Av'], [18, 'c', 'Euclid Av']] 2021-12-22 09:51:41.967410
['86 St', [3, 'c', '168 St'], [9, 'b', '145 St'], [14, 'b', '145 St']] 2021-12-22 09:51:42.502167
['86 St', [3, 'b', 'Brighton Beach'], [7, 'c', 'Euclid Av'], [18, 'c', 'Euclid Av']] 2021-12-22 09:51:49.005677
['86 St', [3, 'c', '168 St'], [9, 'b', '145 St'], [14, 'b', '145 St']] 2021-12-22 09:51:49.606019
['86 St', [3, 'b', 'Brighton Beach'], [7, 'c', 'Euclid Av'], [18, 'c', 'Euclid Av']] 2021-12-22 09:51:56.023237
['86 St', [3, 'c', '168 St'], [9, 'b', '145 St'], [14, 'b', '145 St']] 2021-12-22 09:51:56.957415
['86 St', [3, 'b', 'Brighton Beach'], [7, 'c', 'Euclid Av'], [17, 'c', 'Euclid Av']] 2021-12-22 09:52:03.508159
['86 St', [3, 'c', '168 St'], [9, 'b', '145 St'], [14, 'b', '145 St']] 2021-12-22 09:52:04.144334
['86 St', [3, 'b', 'Brighton Beach'], [7, 'c', 'Euclid Av'], [17, 'c', 'Euclid Av']] 2021-12-22 09:52:10.652087
['86 St', [3, 'c', '168 St'], [9, 'b', '145 St'], [14, 'b', '145 St']] 2021-12-22 09:52:11.274306
['86 St', [3, 'b', 'Brighton Beach'], [7, 'c', 'Euclid Av'], [17, 'c', 'Euclid Av']] 2021-12-22 09:52:17.680648
['86 St', [3, 'c', '168 St'], [9, 'b', '145 St'], [14, 'b', '145 St']] 2021-12-22 09:52:18.528782
['86 St', [2, 'b', 'Brighton Beach'], [7, 'c', 'Euclid Av'], [17, 'c', 'Euclid Av']] 2021-12-22 09:52:25.089846
['86 St', [3, 'c', '168 St'], [9, 'b', '145 St'], [14, 'b', '145 St']] 2021-12-22 09:52:25.808958
['86 St', [2, 'b', 'Brighton Beach'], [7, 'c', 'Euclid Av'], [17, 'c', 'Euclid Av']] 2021-12-22 09:52:32.404363
['86 St', [3, 'c', '168 St'], [8, 'b', '145 St'], [14, 'b', '145 St']] 2021-12-22 09:52:33.128648
['86 St', [2, 'b', 'Brighton Beach'], [6, 'c', 'Euclid Av'], [17, 'c', 'Euclid Av']] 2021-12-22 09:52:39.591960
['86 St', [3, 'c', '168 St'], [8, 'b', '145 St'], [14, 'b', '145 St']] 2021-12-22 09:52:40.594698
['86 St', [2, 'b', 'Brighton Beach'], [6, 'c', 'Euclid Av'], [17, 'c', 'Euclid Av']] 2021-12-22 09:52:46.721710
['86 St', [3, 'c', '168 St'], [8, 'b', '145 St'], [14, 'b', '145 St']] 2021-12-22 09:52:47.900901
['86 St', [2, 'b', 'Brighton Beach'], [6, 'c', 'Euclid Av'], [17, 'c', 'Euclid Av']] 2021-12-22 09:52:53.864435
['86 St', [3, 'c', '168 St'], [8, 'b', '145 St'], [14, 'b', '145 St']] 2021-12-22 09:52:54.952254
['86 St', [2, 'b', 'Brighton Beach'], [6, 'c', 'Euclid Av'], [17, 'c', 'Euclid Av']] 2021-12-22 09:53:00.962539
['86 St', [3, 'c', '168 St'], [7, 'b', '145 St'], [13, 'b', '145 St']] 2021-12-22 09:53:02.167000
['86 St', [3, 'c', '168 St'], [7, 'b', '145 St'], [13, 'b', '145 St']] 2021-12-22 09:53:09.032020
['86 St', [2, 'b', 'Brighton Beach'], [6, 'c', 'Euclid Av'], [16, 'c', 'Euclid Av']] 2021-12-22 09:53:12.670006
['86 St', [3, 'c', '168 St'], [7, 'b', '145 St'], [13, 'b', '145 St']] 2021-12-22 09:53:16.026057
['86 St', [2, 'b', 'Brighton Beach'], [6, 'c', 'Euclid Av'], [16, 'c', 'Euclid Av']] 2021-12-22 09:53:19.487762
['86 St', [3, 'c', '168 St'], [7, 'b', '145 St'], [13, 'b', '145 St']] 2021-12-22 09:53:22.922557
['86 St', [2, 'b', 'Brighton Beach'], [6, 'c', 'Euclid Av'], [16, 'c', 'Euclid Av']] 2021-12-22 09:53:26.342967
['86 St', [3, 'c', '168 St'], [7, 'b', '145 St'], [13, 'b', '145 St']] 2021-12-22 09:53:29.792661
['86 St', [2, 'b', 'Brighton Beach'], [6, 'c', 'Euclid Av'], [16, 'c', 'Euclid Av']] 2021-12-22 09:53:33.205587
['86 St', [3, 'c', '168 St'], [7, 'b', '145 St'], [13, 'b', '145 St']] 2021-12-22 09:53:36.717637
['86 St', [2, 'b', 'Brighton Beach'], [6, 'c', 'Euclid Av'], [16, 'c', 'Euclid Av']] 2021-12-22 09:53:40.018674
['86 St', [3, 'c', '168 St'], [7, 'b', '145 St'], [12, 'b', '145 St']] 2021-12-22 09:53:43.711662
['86 St', [2, 'b', 'Brighton Beach'], [6, 'c', 'Euclid Av'], [16, 'c', 'Euclid Av']] 2021-12-22 09:53:46.831681
['86 St', [2, 'c', '168 St'], [7, 'b', '145 St'], [12, 'b', '145 St']] 2021-12-22 09:53:50.691549
['86 St', [1, 'b', 'Brighton Beach'], [6, 'c', 'Euclid Av'], [16, 'c', 'Euclid Av']] 2021-12-22 09:53:54.000544
['86 St', [2, 'c', '168 St'], [7, 'b', '145 St'], [12, 'b', '145 St']] 2021-12-22 09:53:57.695295
['86 St', [1, 'b', 'Brighton Beach'], [6, 'c', 'Euclid Av'], [16, 'c', 'Euclid Av']] 2021-12-22 09:54:00.868524
['86 St', [2, 'c', '168 St'], [7, 'b', '145 St'], [12, 'b', '145 St']] 2021-12-22 09:54:04.698963
['86 St', [6, 'c', 'Euclid Av'], [15, 'c', 'Euclid Av'], [16, 'b', 'Brighton Beach']] 2021-12-22 09:54:07.668639
['86 St', [2, 'c', '168 St'], [6, 'b', '145 St'], [12, 'b', '145 St']] 2021-12-22 09:54:11.552582
['86 St', [5, 'c', 'Euclid Av'], [15, 'c', 'Euclid Av'], [16, 'b', 'Brighton Beach']] 2021-12-22 09:54:14.445339
['86 St', [2, 'c', '168 St'], [6, 'b', '145 St'], [12, 'b', '145 St']] 2021-12-22 09:54:18.580306
['86 St', [5, 'c', 'Euclid Av'], [15, 'c', 'Euclid Av'], [16, 'b', 'Brighton Beach']] 2021-12-22 09:54:21.487111
['86 St', [2, 'c', '168 St'], [6, 'b', '145 St'], [12, 'b', '145 St']] 2021-12-22 09:54:25.698469
['86 St', [5, 'c', 'Euclid Av'], [15, 'c', 'Euclid Av'], [16, 'b', 'Brighton Beach']] 2021-12-22 09:54:28.440372
['86 St', [2, 'c', '168 St'], [6, 'b', '145 St'], [12, 'b', '145 St']] 2021-12-22 09:54:32.905606
['86 St', [4, 'c', 'Euclid Av'], [15, 'c', 'Euclid Av'], [16, 'b', 'Brighton Beach']] 2021-12-22 09:54:35.371839
['86 St', [2, 'c', '168 St'], [6, 'b', '145 St'], [12, 'b', '145 St']] 2021-12-22 09:54:39.955184
['86 St', [4, 'c', 'Euclid Av'], [15, 'c', 'Euclid Av'], [16, 'b', 'Brighton Beach']] 2021-12-22 09:54:42.375056
['86 St', [2, 'c', '168 St'], [6, 'b', '145 St'], [11, 'b', '145 St']] 2021-12-22 09:54:46.936878
['86 St', [4, 'c', 'Euclid Av'], [15, 'c', 'Euclid Av'], [16, 'b', 'Brighton Beach']] 2021-12-22 09:54:49.213865
['86 St', [2, 'c', '168 St'], [5, 'b', '145 St'], [11, 'b', '145 St']] 2021-12-22 09:54:53.901043
['86 St', [4, 'c', 'Euclid Av'], [15, 'c', 'Euclid Av'], [16, 'b', 'Brighton Beach']] 2021-12-22 09:54:55.962366
['86 St', [2, 'c', '168 St'], [5, 'b', '145 St'], [11, 'b', '145 St']] 2021-12-22 09:55:00.869090
['86 St', [4, 'c', 'Euclid Av'], [14, 'c', 'Euclid Av'], [15, 'b', 'Brighton Beach']] 2021-12-22 09:55:02.956336
['86 St', [2, 'c', '168 St'], [5, 'b', '145 St'], [11, 'b', '145 St']] 2021-12-22 09:55:07.827653
['86 St', [4, 'c', 'Euclid Av'], [14, 'c', 'Euclid Av'], [15, 'b', 'Brighton Beach']] 2021-12-22 09:55:09.953163
['86 St', [2, 'c', '168 St'], [5, 'b', '145 St'], [11, 'b', '145 St']] 2021-12-22 09:55:14.935571
['86 St', [4, 'c', 'Euclid Av'], [14, 'c', 'Euclid Av'], [15, 'b', 'Brighton Beach']] 2021-12-22 09:55:16.822985
['86 St', [1, 'c', '168 St'], [5, 'b', '145 St'], [11, 'b', '145 St']] 2021-12-22 09:55:21.880963
['86 St', [3, 'c', 'Euclid Av'], [14, 'c', 'Euclid Av'], [15, 'b', 'Brighton Beach']] 2021-12-22 09:55:23.816082
['86 St', [1, 'c', '168 St'], [5, 'b', '145 St'], [11, 'b', '145 St']] 2021-12-22 09:55:28.965117
['86 St', [3, 'c', 'Euclid Av'], [14, 'c', 'Euclid Av'], [15, 'b', 'Brighton Beach']] 2021-12-22 09:55:30.880523
['86 St', [1, 'c', '168 St'], [5, 'b', '145 St'], [11, 'b', '145 St']] 2021-12-22 09:55:35.875622
['86 St', [3, 'c', 'Euclid Av'], [14, 'c', 'Euclid Av'], [15, 'b', 'Brighton Beach']] 2021-12-22 09:55:37.612896
['86 St', [5, 'b', '145 St'], [11, 'b', '145 St'], [12, 'c', '168 St']] 2021-12-22 09:55:43.007476
['86 St', [3, 'c', 'Euclid Av'], [14, 'c', 'Euclid Av'], [15, 'b', 'Brighton Beach']] 2021-12-22 09:55:44.776423
['86 St', [5, 'b', '145 St'], [10, 'b', '145 St'], [12, 'c', '168 St']] 2021-12-22 09:55:50.096030
['86 St', [3, 'c', 'Euclid Av'], [14, 'c', 'Euclid Av'], [15, 'b', 'Brighton Beach']] 2021-12-22 09:55:51.921164
['86 St', [5, 'b', '145 St'], [10, 'b', '145 St'], [12, 'c', '168 St']] 2021-12-22 09:55:57.091355
['86 St', [3, 'c', 'Euclid Av'], [14, 'c', 'Euclid Av'], [15, 'b', 'Brighton Beach']] 2021-12-22 09:55:58.944847
['86 St', [4, 'b', '145 St'], [10, 'b', '145 St'], [12, 'c', '168 St']] 2021-12-22 09:56:03.928479
['86 St', [3, 'c', 'Euclid Av'], [13, 'c', 'Euclid Av'], [14, 'b', 'Brighton Beach']] 2021-12-22 09:56:05.983248
['86 St', [4, 'b', '145 St'], [10, 'b', '145 St'], [12, 'c', '168 St']] 2021-12-22 09:56:10.922645
['86 St', [3, 'c', 'Euclid Av'], [13, 'c', 'Euclid Av'], [14, 'b', 'Brighton Beach']] 2021-12-22 09:56:12.918640
['86 St', [4, 'b', '145 St'], [10, 'b', '145 St'], [12, 'c', '168 St']] 2021-12-22 09:56:18.048341
['86 St', [3, 'c', 'Euclid Av'], [13, 'c', 'Euclid Av'], [14, 'b', 'Brighton Beach']] 2021-12-22 09:56:20.008449
['86 St', [3, 'b', '145 St'], [10, 'b', '145 St'], [12, 'c', '168 St']] 2021-12-22 09:56:24.883964
['86 St', [3, 'c', 'Euclid Av'], [13, 'c', 'Euclid Av'], [14, 'b', 'Brighton Beach']] 2021-12-22 09:56:26.983005
['86 St', [3, 'b', '145 St'], [10, 'b', '145 St'], [12, 'c', '168 St']] 2021-12-22 09:56:31.779272
['86 St', [3, 'c', 'Euclid Av'], [13, 'c', 'Euclid Av'], [14, 'b', 'Brighton Beach']] 2021-12-22 09:56:33.806181
['86 St', [3, 'b', '145 St'], [10, 'b', '145 St'], [12, 'c', '168 St']] 2021-12-22 09:56:38.754484
