['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica-179 St'], [7, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:30:37.674813
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [1, 'l', '8 Av'], [6, 'l', '8 Av']] 2021-12-21 09:30:45.256778
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica-179 St'], [7, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:30:45.284705
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [1, 'l', '8 Av'], [5, 'l', '8 Av']] 2021-12-21 09:30:52.884565
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica-179 St'], [7, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:30:52.926485
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [5, 'l', '8 Av'], [12, 'l', '8 Av']] 2021-12-21 09:31:00.402705
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica-179 St'], [7, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:31:00.438640
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [5, 'l', '8 Av'], [12, 'l', '8 Av']] 2021-12-21 09:31:07.816113
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'e', 'Jamaica-179 St'], [7, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:31:07.856006
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'e', 'Jamaica-179 St'], [7, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:31:15.077664
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [5, 'l', '8 Av'], [11, 'l', '8 Av']] 2021-12-21 09:31:15.406275
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica-179 St'], [7, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:31:22.433882
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [5, 'l', '8 Av'], [11, 'l', '8 Av']] 2021-12-21 09:31:22.848420
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica-179 St'], [6, 'm', 'Forest Hills-71 Av']] 2021-12-21 09:31:29.845231
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [5, 'l', '8 Av'], [11, 'l', '8 Av']] 2021-12-21 09:31:30.280629
['Lexington Av/53 St', [1, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica-179 St'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:31:37.161610
['Myrtle-Wyckoff Avs', [5, 'l', '8 Av'], [11, 'l', '8 Av'], [20, 'l', '8 Av']] 2021-12-21 09:31:37.905375
['Lexington Av/53 St', [1, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica-179 St'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:31:44.861712
['Myrtle-Wyckoff Avs', [5, 'l', '8 Av'], [11, 'l', '8 Av'], [20, 'l', '8 Av']] 2021-12-21 09:31:45.304873
['Lexington Av/53 St', [1, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica-179 St'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:31:52.116428
['Myrtle-Wyckoff Avs', [4, 'l', '8 Av'], [11, 'l', '8 Av'], [19, 'l', '8 Av']] 2021-12-21 09:31:52.710498
['Lexington Av/53 St', [1, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica-179 St'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:31:59.120688
['Myrtle-Wyckoff Avs', [4, 'l', '8 Av'], [11, 'l', '8 Av'], [19, 'l', '8 Av']] 2021-12-21 09:31:59.904490
['Lexington Av/53 St', [1, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica-179 St'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:32:06.315865
['Myrtle-Wyckoff Avs', [4, 'l', '8 Av'], [11, 'l', '8 Av'], [19, 'l', '8 Av']] 2021-12-21 09:32:07.086703
['Lexington Av/53 St', [1, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica-179 St'], [5, 'm', 'Forest Hills-71 Av']] 2021-12-21 09:32:13.641921
['Myrtle-Wyckoff Avs', [4, 'l', '8 Av'], [10, 'l', '8 Av'], [19, 'l', '8 Av']] 2021-12-21 09:32:14.538020
['Lexington Av/53 St', [1, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica-179 St'], [5, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:32:20.990918
['Myrtle-Wyckoff Avs', [4, 'l', '8 Av'], [10, 'l', '8 Av'], [19, 'l', '8 Av']] 2021-12-21 09:32:21.875361
['Lexington Av/53 St', [4, 'e', 'Jamaica-179 St'], [5, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'm', 'Forest Hills-71 Av']] 2021-12-21 09:32:28.235526
['Myrtle-Wyckoff Avs', [4, 'l', '8 Av'], [10, 'l', '8 Av'], [19, 'l', '8 Av']] 2021-12-21 09:32:29.149782
['Lexington Av/53 St', [4, 'e', 'Jamaica-179 St'], [5, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'm', 'Forest Hills-71 Av']] 2021-12-21 09:32:35.571644
['Myrtle-Wyckoff Avs', [4, 'l', '8 Av'], [10, 'l', '8 Av'], [19, 'l', '8 Av']] 2021-12-21 09:32:36.763065
['Lexington Av/53 St', [4, 'e', 'Jamaica-179 St'], [5, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'm', 'Forest Hills-71 Av']] 2021-12-21 09:32:42.534903
['Myrtle-Wyckoff Avs', [4, 'l', '8 Av'], [10, 'l', '8 Av'], [19, 'l', '8 Av']] 2021-12-21 09:32:44.015614
['Lexington Av/53 St', [4, 'e', 'Jamaica-179 St'], [5, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'm', 'Forest Hills-71 Av']] 2021-12-21 09:32:49.644691
['Myrtle-Wyckoff Avs', [3, 'l', '8 Av'], [10, 'l', '8 Av'], [18, 'l', '8 Av']] 2021-12-21 09:32:51.167819
['Lexington Av/53 St', [4, 'e', 'Jamaica-179 St'], [5, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'm', 'Forest Hills-71 Av']] 2021-12-21 09:32:56.874053
['Myrtle-Wyckoff Avs', [3, 'l', '8 Av'], [10, 'l', '8 Av'], [18, 'l', '8 Av']] 2021-12-21 09:32:58.212400
['Lexington Av/53 St', [4, 'e', 'Jamaica-179 St'], [4, 'm', 'Forest Hills-71 Av'], [5, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:33:04.145528
['Myrtle-Wyckoff Avs', [3, 'l', '8 Av'], [10, 'l', '8 Av'], [18, 'l', '8 Av']] 2021-12-21 09:33:05.363011
['Lexington Av/53 St', [3, 'e', 'Jamaica-179 St'], [4, 'm', 'Forest Hills-71 Av'], [5, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:33:11.647238
['Myrtle-Wyckoff Avs', [3, 'l', '8 Av'], [10, 'l', '8 Av'], [18, 'l', '8 Av']] 2021-12-21 09:33:12.599215
['Lexington Av/53 St', [3, 'e', 'Jamaica-179 St'], [4, 'm', 'Forest Hills-71 Av'], [5, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:33:18.945138
['Myrtle-Wyckoff Avs', [3, 'l', '8 Av'], [9, 'l', '8 Av'], [18, 'l', '8 Av']] 2021-12-21 09:33:19.823386
['Myrtle-Wyckoff Avs', [3, 'l', '8 Av'], [9, 'l', '8 Av'], [18, 'l', '8 Av']] 2021-12-21 09:33:27.492438
['Lexington Av/53 St', [3, 'e', 'Jamaica-179 St'], [4, 'm', 'Forest Hills-71 Av'], [5, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:33:27.518369
['Myrtle-Wyckoff Avs', [3, 'l', '8 Av'], [9, 'l', '8 Av'], [18, 'l', '8 Av']] 2021-12-21 09:33:35.197357
['Lexington Av/53 St', [3, 'e', 'Jamaica-179 St'], [4, 'm', 'Forest Hills-71 Av'], [5, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:33:35.228676
['Myrtle-Wyckoff Avs', [3, 'l', '8 Av'], [9, 'l', '8 Av'], [18, 'l', '8 Av']] 2021-12-21 09:33:42.371646
['Lexington Av/53 St', [2, 'e', 'Jamaica-179 St'], [3, 'm', 'Forest Hills-71 Av'], [5, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:33:42.739326
['Myrtle-Wyckoff Avs', [3, 'l', '8 Av'], [9, 'l', '8 Av'], [17, 'l', '8 Av']] 2021-12-21 09:33:50.105738
['Lexington Av/53 St', [2, 'e', 'Jamaica-179 St'], [3, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:33:50.136237
['Lexington Av/53 St', [2, 'e', 'Jamaica-179 St'], [3, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:33:57.383282
['Myrtle-Wyckoff Avs', [2, 'l', '8 Av'], [9, 'l', '8 Av'], [17, 'l', '8 Av']] 2021-12-21 09:33:57.849162
['Lexington Av/53 St', [2, 'e', 'Jamaica-179 St'], [3, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:34:04.776685
['Myrtle-Wyckoff Avs', [2, 'l', '8 Av'], [9, 'l', '8 Av'], [17, 'l', '8 Av']] 2021-12-21 09:34:05.242834
['Lexington Av/53 St', [2, 'e', 'Jamaica-179 St'], [3, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:34:11.861398
['Myrtle-Wyckoff Avs', [2, 'l', '8 Av'], [2, 'l', '8 Av'], [9, 'l', '8 Av']] 2021-12-21 09:34:12.587648
['Lexington Av/53 St', [2, 'e', 'Jamaica-179 St'], [3, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:34:19.111891
['Myrtle-Wyckoff Avs', [2, 'l', '8 Av'], [2, 'l', '8 Av'], [8, 'l', '8 Av']] 2021-12-21 09:34:19.901834
['Lexington Av/53 St', [1, 'e', 'Jamaica-179 St'], [3, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:34:26.376690
['Myrtle-Wyckoff Avs', [2, 'l', '8 Av'], [2, 'l', '8 Av'], [8, 'l', '8 Av']] 2021-12-21 09:34:27.287237
['Lexington Av/53 St', [1, 'e', 'Jamaica-179 St'], [3, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:34:33.525786
['Myrtle-Wyckoff Avs', [2, 'l', '8 Av'], [2, 'l', '8 Av'], [8, 'l', '8 Av']] 2021-12-21 09:34:34.391347
['Lexington Av/53 St', [1, 'e', 'Jamaica-179 St'], [3, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:34:40.544339
['Myrtle-Wyckoff Avs', [2, 'l', '8 Av'], [2, 'l', '8 Av'], [8, 'l', '8 Av']] 2021-12-21 09:34:41.685249
['Lexington Av/53 St', [1, 'e', 'Jamaica-179 St'], [3, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:34:47.741701
['Myrtle-Wyckoff Avs', [2, 'l', '8 Av'], [2, 'l', '8 Av'], [8, 'l', '8 Av']] 2021-12-21 09:34:49.112798
['Lexington Av/53 St', [1, 'e', 'Jamaica-179 St'], [3, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:34:55.167580
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [1, 'l', '8 Av'], [8, 'l', '8 Av']] 2021-12-21 09:34:56.542514
['Lexington Av/53 St', [1, 'e', 'Jamaica-179 St'], [3, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:35:02.430417
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [1, 'l', '8 Av'], [8, 'l', '8 Av']] 2021-12-21 09:35:03.783762
['Lexington Av/53 St', [1, 'e', 'Jamaica-179 St'], [3, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:35:09.459796
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [1, 'l', '8 Av'], [8, 'l', '8 Av']] 2021-12-21 09:35:10.904007
['Lexington Av/53 St', [3, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:35:16.527186
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [1, 'l', '8 Av'], [7, 'l', '8 Av']] 2021-12-21 09:35:17.966395
['Lexington Av/53 St', [3, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:35:23.630030
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [1, 'l', '8 Av'], [7, 'l', '8 Av']] 2021-12-21 09:35:25.066509
['Lexington Av/53 St', [3, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:35:30.786278
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [1, 'l', '8 Av'], [7, 'l', '8 Av']] 2021-12-21 09:35:32.292294
['Lexington Av/53 St', [3, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:35:37.770793
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [1, 'l', '8 Av'], [7, 'l', '8 Av']] 2021-12-21 09:35:39.455810
['Lexington Av/53 St', [3, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:35:44.658352
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [1, 'l', '8 Av'], [7, 'l', '8 Av']] 2021-12-21 09:35:46.637658
['Lexington Av/53 St', [2, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:35:51.620986
['Myrtle-Wyckoff Avs', [7, 'l', '8 Av'], [15, 'l', '8 Av'], [20, 'l', '8 Av']] 2021-12-21 09:35:53.397994
['Lexington Av/53 St', [2, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:35:58.618243
['Myrtle-Wyckoff Avs', [7, 'l', '8 Av'], [15, 'l', '8 Av'], [20, 'l', '8 Av']] 2021-12-21 09:36:00.501293
['Lexington Av/53 St', [1, 'm', 'Forest Hills-71 Av'], [3, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:36:05.764594
['Myrtle-Wyckoff Avs', [7, 'l', '8 Av'], [15, 'l', '8 Av'], [19, 'l', '8 Av']] 2021-12-21 09:36:07.747428
['Lexington Av/53 St', [1, 'm', 'Forest Hills-71 Av'], [3, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:36:12.764143
['Myrtle-Wyckoff Avs', [6, 'l', '8 Av'], [15, 'l', '8 Av'], [19, 'l', '8 Av']] 2021-12-21 09:36:15.214735
['Lexington Av/53 St', [1, 'm', 'Forest Hills-71 Av'], [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:36:19.736769
['Myrtle-Wyckoff Avs', [6, 'l', '8 Av'], [15, 'l', '8 Av'], [19, 'l', '8 Av']] 2021-12-21 09:36:22.081080
['Lexington Av/53 St', [1, 'm', 'Forest Hills-71 Av'], [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:36:26.979149
['Myrtle-Wyckoff Avs', [6, 'l', '8 Av'], [15, 'l', '8 Av'], [19, 'l', '8 Av']] 2021-12-21 09:36:29.141628
['Lexington Av/53 St', [1, 'm', 'Forest Hills-71 Av'], [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:36:34.079242
['Myrtle-Wyckoff Avs', [6, 'l', '8 Av'], [15, 'l', '8 Av'], [19, 'l', '8 Av']] 2021-12-21 09:36:36.139227
['Lexington Av/53 St', [1, 'm', 'Forest Hills-71 Av'], [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:36:40.947916
['Myrtle-Wyckoff Avs', [2, 'l', '8 Av'], [4, 'l', '8 Av'], [15, 'l', '8 Av']] 2021-12-21 09:36:43.028880
['Lexington Av/53 St', [1, 'm', 'Forest Hills-71 Av'], [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:36:48.252646
['Myrtle-Wyckoff Avs', [2, 'l', '8 Av'], [4, 'l', '8 Av'], [14, 'l', '8 Av']] 2021-12-21 09:36:50.176147
['Lexington Av/53 St', [1, 'm', 'Forest Hills-71 Av'], [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:36:55.221447
['Myrtle-Wyckoff Avs', [2, 'l', '8 Av'], [4, 'l', '8 Av'], [14, 'l', '8 Av']] 2021-12-21 09:36:57.333819
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:37:02.305960
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [4, 'l', '8 Av'], [14, 'l', '8 Av']] 2021-12-21 09:37:04.291288
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:37:09.346470
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [3, 'l', '8 Av'], [14, 'l', '8 Av']] 2021-12-21 09:37:11.364450
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:37:16.296334
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [3, 'l', '8 Av'], [14, 'l', '8 Av']] 2021-12-21 09:37:18.402165
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:37:23.152416
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [3, 'l', '8 Av'], [14, 'l', '8 Av']] 2021-12-21 09:37:25.498991
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:37:30.283706
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [3, 'l', '8 Av'], [12, 'l', '8 Av']] 2021-12-21 09:37:32.707830
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:37:37.372935
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [3, 'l', '8 Av'], [11, 'l', '8 Av']] 2021-12-21 09:37:39.905765
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:37:44.370916
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [3, 'l', '8 Av'], [11, 'l', '8 Av']] 2021-12-21 09:37:47.008992
['Lexington Av/53 St', [1, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:37:51.499720
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [3, 'l', '8 Av'], [11, 'l', '8 Av']] 2021-12-21 09:37:54.213095
