['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [5, '3', 'Harlem-148 St'], [5, '5', 'Eastchester-Dyre Av']] 2021-10-28 11:38:43.170906
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [1, '4', 'Woodlawn'], [4, '3', 'Harlem-148 St']] 2021-10-28 11:38:49.865537
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [1, '4', 'Woodlawn'], [4, '3', 'Harlem-148 St']] 2021-10-28 11:38:56.588682
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [4, '3', 'Harlem-148 St'], [4, '5', 'Eastchester-Dyre Av']] 2021-10-28 11:39:03.586898
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [4, '3', 'Harlem-148 St'], [4, '5', 'Eastchester-Dyre Av']] 2021-10-28 11:39:10.638836
['Franklin Avenue-Medgar Evers College', [3, '3', 'Harlem-148 St'], [4, '5', 'Eastchester-Dyre Av'], [6, '2', 'Wakefield-241 St']] 2021-10-28 11:39:17.373850
['Franklin Avenue-Medgar Evers College', [3, '3', 'Harlem-148 St'], [3, '5', 'Eastchester-Dyre Av'], [6, '2', 'Wakefield-241 St']] 2021-10-28 11:39:24.061797
['Franklin Avenue-Medgar Evers College', [3, '3', 'Harlem-148 St'], [3, '5', 'Eastchester-Dyre Av'], [6, '2', 'Wakefield-241 St']] 2021-10-28 11:39:30.860025
['Franklin Avenue-Medgar Evers College', [3, '3', 'Harlem-148 St'], [3, '5', 'Eastchester-Dyre Av'], [6, '2', 'Wakefield-241 St']] 2021-10-28 11:39:37.533815
['Franklin Avenue-Medgar Evers College', [3, '3', 'Harlem-148 St'], [3, '5', 'Eastchester-Dyre Av'], [6, '2', 'Wakefield-241 St']] 2021-10-28 11:39:45.211084
['Franklin Avenue-Medgar Evers College', [3, '3', 'Harlem-148 St'], [3, '5', 'Eastchester-Dyre Av'], [6, '2', 'Wakefield-241 St']] 2021-10-28 11:39:51.759300
['Franklin Avenue-Medgar Evers College', [3, '3', 'Harlem-148 St'], [3, '5', 'Eastchester-Dyre Av'], [6, '2', 'Wakefield-241 St']] 2021-10-28 11:39:58.543445
['Franklin Avenue-Medgar Evers College', [3, '3', 'Harlem-148 St'], [3, '5', 'Eastchester-Dyre Av'], [6, '2', 'Wakefield-241 St']] 2021-10-28 11:40:05.336849
['Franklin Avenue-Medgar Evers College', [3, '3', 'Harlem-148 St'], [3, '5', 'Eastchester-Dyre Av'], [6, '2', 'Wakefield-241 St']] 2021-10-28 11:40:13.155147
['Franklin Avenue-Medgar Evers College', [3, '3', 'Harlem-148 St'], [3, '5', 'Eastchester-Dyre Av'], [5, '2', 'Wakefield-241 St']] 2021-10-28 11:40:20.005605
['Franklin Avenue-Medgar Evers College', [2, '3', 'Harlem-148 St'], [3, '5', 'Eastchester-Dyre Av'], [5, '2', 'Wakefield-241 St']] 2021-10-28 11:40:26.722128
